observed_on,latitude,longitude,scientific_name,common_name,,Source
8/13/2023,36.43106272,-122.1700626,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
8/13/2023,36.31480747,-122.2511289,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
8/13/2023,36.21003075,-122.3505768,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
8/13/2023,36.28806,-122.28759,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
8/13/2023,36.19398,-122.3563,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
7/21/2021,29.18416773,-118.243474,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
8/26/2023,32.69122353,-117.6692501,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
8/31/2023,36.99745384,-121.8114617,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
8/27/2023,46.92036696,-124.9976335,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
9/2/2023,32.73062438,-117.4841355,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
9/2/2023,37.28140333,-122.9360117,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
9/3/2023,32.78109397,-117.4327149,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
8/26/2023,32.712539,-117.727883,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
9/4/2023,36.74314661,-122.5441491,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
9/4/2023,36.63431351,-122.2721147,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
9/17/2023,33.26213833,-117.9253317,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
9/17/2023,37.53484871,-123.0208956,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
9/16/2023,37.6633768,-123.224571,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
9/16/2023,37.36416592,-123.1224071,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
9/16/2023,37.27203539,-122.9187821,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
9/17/2023,33.1,-117.8666667,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
9/16/2023,37.28563891,-122.8966538,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
9/23/2023,46.87162686,-124.5101907,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
9/17/2023,33.2624955,-117.9255785,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
9/24/2023,36.61017471,-121.8716756,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
9/17/2023,37.63640711,-123.0832991,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
9/5/2023,47.00780887,-124.7438209,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
9/22/2023,47.07775749,-124.7548072,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
10/10/2023,19.11509138,-104.4785772,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
9/2/2023,32.7645056,-117.406278,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
10/21/2023,37.325645,-123.07381,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
9/2/2023,37.35654,-123.04958,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
1/15/2024,22.89760553,-110.1064754,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
2/19/2006,28.88241891,-118.291641,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
9/27/2023,20.66842,-105.2711033,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
9/27/2023,20.66812769,-105.270868,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
